timestamp,session_id,turn_id,speaker,raw_text,intent,entities,sentiment,response_text,processing_time_ms,tts_engine,stt_engine
2026-05-16T05:11:24.364633,sess_20260516_051124,1,user,Hello there! How are you today?,greeting,{},neutral,,,,speech_recognition
2026-05-16T05:11:24.364712,sess_20260516_051124,1,assistant,,greeting,,,Hello! I'm your Voice AI Assistant. How can I help you today?,3.38,none,
2026-05-16T05:11:24.366369,sess_20260516_051124,2,user,My name is Aisha. What can you do?,self_introduction,"{""name"": [""Aisha""]}",neutral,,,,speech_recognition
2026-05-16T05:11:24.366464,sess_20260516_051124,2,assistant,,self_introduction,,,Nice to meet you! I'll remember you during our conversation. How can I help you today?,1.37,none,
2026-05-16T05:11:24.366926,sess_20260516_051124,3,user,What time is it right now?,datetime_query,{},neutral,,,,speech_recognition
2026-05-16T05:11:24.367038,sess_20260516_051124,3,assistant,,datetime_query,,,"The current date and time is: Saturday, May 16, 2026 at 05:11 AM.",0.16,none,
2026-05-16T05:11:24.367551,sess_20260516_051124,4,user,Can you calculate 256 multiplied by 4?,math_query,"{""number"": [""256"", ""4""]}",neutral,,,,speech_recognition
2026-05-16T05:11:24.367594,sess_20260516_051124,4,assistant,,math_query,,,Please provide a math expression like '5 + 3' or '10 * 4'.,0.27,none,
2026-05-16T05:11:24.368108,sess_20260516_051124,5,user,Tell me a joke please!,entertainment,{},neutral,,,,speech_recognition
2026-05-16T05:11:24.368152,sess_20260516_051124,5,assistant,,entertainment,,,Why don't scientists trust atoms? Because they make up everything! 😄 Want to hear another one?,0.3,none,
2026-05-16T05:11:24.368631,sess_20260516_051124,6,user,I need help with something important,help_request,{},neutral,,,,speech_recognition
2026-05-16T05:11:24.368710,sess_20260516_051124,6,assistant,,help_request,,,"I can help with: answering questions, math calculations, telling the time/date, general conversation, and much more. Just speak naturally!",0.23,none,
2026-05-16T05:11:24.369122,sess_20260516_051124,7,user,What is the weather like today?,datetime_query,{},neutral,,,,speech_recognition
2026-05-16T05:11:24.369204,sess_20260516_051124,7,assistant,,datetime_query,,,"The current date and time is: Saturday, May 16, 2026 at 05:11 AM.",0.23,none,
2026-05-16T05:11:24.369607,sess_20260516_051124,8,user,Thank you so much for your help!,help_request,{},neutral,,,,speech_recognition
2026-05-16T05:11:24.369693,sess_20260516_051124,8,assistant,,help_request,,,"I can help with: answering questions, math calculations, telling the time/date, general conversation, and much more. Just speak naturally!",0.18,none,
